Carimbo de data/hora,Avaliador,Equipe avaliada,Aliança,Partida:,Robô operacional,Mobilidade (autônomo),"Peças de jogo (autônomo): 
Pontuou na ROW inferior","Peças de jogo (autônomo): 
Pontuou na ROW do meio","Peças de jogo (autônomo): 
Pontuou na ROW do topo",Robô contato com a charge station (autonômo):,"Peças de jogo (teleoperado): 
Pontuou na ROW inferior","Peças de jogo (teleoperado): 
Pontuou na ROW do meio","Peças de jogo (teleoperado): 
Pontuou na ROW do topo",Robô contato com a charge station (teleoperado):,"Link (teleoperado):
3 NODES adjacentes com peças de jogo pontuando","Park (teleoperado):
Todos os bumpers do robô dentro da sua comunidade sem estar DOCKED","Coopertion bonus (qualificatória):
Ao menos 3 PEÇAS DE JOGO foram pontuadas em cada CO-OP GRID da aliança","Activation bonus (qualificatória):
Ao menos 26 pontos foram ganhos com a CHARGE STATION durante o período autonômo e/ou endgame",Resultado final (qualificatória):,Pontuação de penalidade da aliança oposta:
17/03/2023 17:31:32,2,8882 | Infinity BR,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,1,0,0,Não fez contato,0,Não,Não,Não,Equipe perdeu,2
17/03/2023 17:31:32,4,9305 | Mont,Azul,Qualificatória,Sim,Não,1,0,0,Não fez contato,2,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe ganhou,0
17/03/2023 17:31:47,9,9046 | SESI SENAI BBTECH,Azul,Qualificatória,Sim,Não,1,0,0,Não fez contato,0,0,0,Não fez contato,0,Sim,Não,Não,Equipe ganhou,0
17/03/2023 19:13:15,7,7459 | Taubatexas Robotics,Azul,Qualificatória,Sim,Não,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Sim,Não,Não,Equipe ganhou,0
17/03/2023 19:16:43,7,9049 | SESI SENAI STEAMPUNK MONKEY FRC,Azul,Qualificatória,Não,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,1,Sim,Não,Não,Equipe ganhou,0
17/03/2023 19:25:15,7,9166 | TecRobot,Azul,Qualificatória,Sim,Não,0,0,0,Não fez contato,0,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Sim,Não,Não,Equipe perdeu,0
17/03/2023 19:29:06,7,9164 | Tech Vikings,Azul,Qualificatória,Sim,Não,1,0,0,Não fez contato,0,2,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Sim,Não,Não,Equipe ganhou,0
17/03/2023 20:41:49,6,5800 | Magic Island Robotics,Azul,Qualificatória,Sim,Sim,0,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),3,0,0,Não fez contato,2,Sim,Sim,Sim,Equipe ganhou,5
17/03/2023 20:43:08,6,6404 | Brazilian Storm,Azul,Qualificatória,Sim,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,1,Não,Não,Não,Equipe perdeu,5
17/03/2023 20:45:59,6,8882 | Infinity BR,Azul,Qualificatória,Sim,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,1,Sim,Não,Não,Equipe perdeu,10
17/03/2023 20:46:02,7,9200 | SESI SENAI STARDUST,Azul,Qualificatória,Sim,Não,0,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,1,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Sim,Não,Sim,Equipe ganhou,0
17/03/2023 20:47:22,6,9047 | SESI SENAI SC TechMaker Robotics,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Sim,Sim,Sim,Equipe ganhou,0
17/03/2023 20:54:47,7,8276 | ETECHNOLOGY#8276,Azul,Qualificatória,Sim,Não,0,0,0,Não fez contato,3,0,0,Não fez contato,2,Sim,Não,Não,Equipe ganhou,0
17/03/2023 21:05:11,7,9178 | Cyber One,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,1,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),3,Sim,Sim,Sim,Equipe ganhou,
17/03/2023 21:17:27,7,9049 | SESI SENAI STEAMPUNK MONKEY FRC,Azul,Qualificatória,Sim,Não,0,0,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),3,0,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),2,Sim,Não,Não,Equipe perdeu,0
17/03/2023 21:19:35,7,9261 | Under Pressure,Azul,Qualificatória,Sim,Não,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Sim,Não,Não,Equipe ganhou,0
17/03/2023 21:23:53,7,9085 | SESI SENAI MEGA HARPY,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,2,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Sim,Não,Não,Equipe ganhou,0
17/03/2023 21:28:18,7,9166 | TecRobot,Azul,Qualificatória,Temporariamente,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,2,Sim,Sim,Não,Equipe ganhou,0
17/03/2023 21:34:44,7,6902 | STRIKE,Azul,Qualificatória,Não,Não,1,0,0,Não fez contato,0,3,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Sim,Não,Sim,Equipe ganhou,0
18/03/2023 08:40:26,1,9163 | HYDRA,Vermelho,Qualificatória,Não,Sim,0,0,0,Não fez contato,0,0,0,Não fez contato,1,Não,Sim,Sim,Equipe ganhou,5
18/03/2023 08:41:03,2,1860 | Alphabots,Vermelho,Qualificatória,Sim,Não,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,0,4,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,,Não,Equipe ganhou,1
18/03/2023 08:41:55,4,9178 | Cyber One,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,3,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe perdeu,0
18/03/2023 08:48:52,8,9219 | Nine Tails,Vermelho,Qualificatória,Sim,Sim,0,0,0,Não fez contato,2,0,3,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Não,Sim,Não,Equipe ganhou,
18/03/2023 08:49:15,1,9045 | North Lions SESI/SENAI,Vermelho,Qualificatória,Não,Sim,0,0,0,Não fez contato,0,2,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Não,Sim,Não,Equipe ganhou,0
18/03/2023 08:49:48,9,9218 | Alpha Technology,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,1,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe perdeu,10
18/03/2023 08:51:07,4,9162 | ALL MIGHT,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,1,0,0,Não fez contato,0,Não,Não,Não,Equipe perdeu,0
18/03/2023 08:51:29,2,7567 | SESI SENAI OCTOPUS,Vermelho,Qualificatória,Sim,Não,0,0,1,Não fez contato,0,0,3,Não fez contato,0,Sim,Sim,Não,Equipe ganhou,
18/03/2023 09:00:43,8,8066 | WOLF ARMY ROBOTICS,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,0,0,0,Não fez contato,0,Não,Sim,Não,Equipe perdeu,5
18/03/2023 09:00:45,9,1156 | Under Control,Azul,Qualificatória,Sim,Não,0,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,2,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Sim,Não,Equipe ganhou,10
18/03/2023 09:00:45,1,1772 | The Brazilian Trail Blazers,Vermelho,Qualificatória,Não,Sim,0,1,0,Não fez contato,3,2,0,Não fez contato,1,Não,Sim,Não,Equipe perdeu,5
18/03/2023 09:00:46,4,9085 | SESI SENAI MEGA HARPY,Azul,Qualificatória,Sim,Não,0,0,0,Não fez contato,0,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Sim,Não,Equipe ganhou,10
18/03/2023 09:01:23,2,5800 | Magic Island Robotics,Vermelho,Qualificatória,Sim,Não,0,0,1,Não fez contato,0,9,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Sim,Não,Equipe perdeu,2
18/03/2023 09:02:19,7,9110 | Atomiic,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,0,1,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Sim,Sim,,Equipe ganhou,0
18/03/2023 09:07:27,8,349175 | BrainMachine-FRC,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,0,0,1,Não fez contato,0,Sim,Não,Sim,Equipe ganhou,
18/03/2023 09:07:33,7,6404 | Brazilian Storm,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,1,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Sim,Não,Não,Equipe perdeu,15
18/03/2023 09:07:59,1,349175 | BrainMachine-FRC,Vermelho,Qualificatória,Não,Não,0,0,0,Não fez contato,1,0,1,Não fez contato,0,Sim,Não,Sim,Equipe ganhou,10
18/03/2023 09:08:01,9,9047 | SESI SENAI SC TechMaker Robotics,Azul,Qualificatória,Sim,Não,0,0,1,DOCKED e NÃO ENGAGED (robô em contato com a charge station),0,0,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe perdeu,15
18/03/2023 09:08:24,4,9302 | Northstar,Azul,Qualificatória,Sim,Não,0,0,0,Não fez contato,1,0,0,Não fez contato,0,Sim,Não,Não,Equipe perdeu,15
18/03/2023 09:08:29,2,9168 | AGROBOT,Vermelho,Qualificatória,Sim,Não,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),9,5,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe ganhou,0
18/03/2023 09:15:30,8,9050 | Tucanus,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,1,0,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Não,Não,Equipe perdeu,5
18/03/2023 09:15:54,2,9196 | Steel Claw Robotics,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,1,0,0,Não fez contato,0,Não,Não,Não,,3
18/03/2023 09:15:55,1,9166 | TecRobot,Vermelho,Qualificatória,Não,Sim,1,0,0,Não fez contato,1,1,0,Não fez contato,1,Sim,Não,Não,Equipe perdeu,5
18/03/2023 09:16:11,4,7565 | SESI SENAI ROBONATICOS,Azul,Qualificatória,Sim,Não,0,0,1,DOCKED e NÃO ENGAGED (robô em contato com a charge station),0,4,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Não,Sim,Sim,Equipe ganhou,5
18/03/2023 09:16:30,7,7459 | Taubatexas Robotics,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Sim,Sim,Sim,Equipe ganhou,5
18/03/2023 09:17:09,9,6902 | STRIKE,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,2,0,Não fez contato,2,Sim,Sim,Sim,Equipe ganhou,5
18/03/2023 09:24:04,1,7033 | Roosters,Vermelho,Qualificatória,Não,Sim,1,0,0,Não fez contato,1,0,0,Não fez contato,1,Não,Sim,Sim,Equipe ganhou,10
18/03/2023 09:24:34,8,9049 | SESI SENAI STEAMPUNK MONKEY FRC,Vermelho,Qualificatória,Sim,Não,1,0,0,Não fez contato,2,0,0,Não fez contato,1,Sim,Não,Sim,Equipe ganhou,10
18/03/2023 09:25:10,7,9164 | Tech Vikings,Azul,Qualificatória,Sim,Sim,0,1,0,Não fez contato,0,4,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Não,Não,Não,Equipe perdeu,15
18/03/2023 09:25:16,4,9169 | AGROTECH,Azul,Qualificatória,Sim,Não,1,0,0,Não fez contato,0,3,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),2,Não,,Não,Equipe perdeu,15
18/03/2023 09:25:28,9,9048 | SESI/SENAI P0t1BOT (Potibot),Azul,Qualificatória,Sim,Sim,0,1,0,Não fez contato,1,1,0,Não fez contato,2,Não,Sim,Não,Equipe perdeu,15
18/03/2023 09:25:36,2,7563 | SESI SENAI MEGAZORD,Vermelho,Qualificatória,Sim,Não,0,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,0,3,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Sim,Sim,Equipe ganhou,10
18/03/2023 09:33:06,8,9046 | SESI SENAI BBTECH,Vermelho,Qualificatória,Sim,Não,1,0,0,Não fez contato,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe ganhou,10
18/03/2023 09:33:15,1,9218 | Alpha Technology,Vermelho,Qualificatória,Não,Sim,1,0,0,Não fez contato,2,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Não,Sim,Equipe ganhou,0
18/03/2023 09:33:24,2,7567 | SESI SENAI OCTOPUS,Vermelho,Qualificatória,Sim,Não,0,0,1,DOCKED e NÃO ENGAGED (robô em contato com a charge station),1,0,2,Não fez contato,1,Sim,Sim,Não,Equipe ganhou,10
18/03/2023 09:33:29,9,9178 | Cyber One,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,1,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),0,Não,Não,Não,Equipe perdeu,0
18/03/2023 09:34:09,4,9165 | Starbots FRC,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,0,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe perdeu,0
18/03/2023 09:42:18,1,1772 | The Brazilian Trail Blazers,Vermelho,Qualificatória,Não,Sim,0,1,0,Não fez contato,0,3,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Não,Não,Equipe perdeu,3
18/03/2023 09:42:28,2,9066 | Cavalo Vendado,Vermelho,Qualificatória,Não,Não,0,0,0,Não fez contato,3,0,0,Não fez contato,0,Não,Não,Não,Equipe perdeu,3
18/03/2023 09:42:52,4,8276 | ETECHNOLOGY#8276,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Sim,Equipe ganhou,0
18/03/2023 09:44:32,8,9199 | SESI SENAI SHARKS,Vermelho,Qualificatória,Sim,Não,0,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,0,0,Não fez contato,0,Não,Não,Não,Equipe perdeu,
18/03/2023 09:45:15,9,1156 | Under Control,Azul,Qualificatória,Não,Não,0,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,1,0,Não fez contato,1,Não,Não,Não,Equipe ganhou,0
18/03/2023 09:49:53,9,6404 | Brazilian Storm,Azul,Qualificatória,Sim,Sim,0,0,0,Não fez contato,2,1,1,Não fez contato,1,Não,Sim,Não,Equipe perdeu,10
18/03/2023 09:50:42,8,9047 | SESI SENAI SC TechMaker Robotics,Vermelho,Qualificatória,Sim,Sim,0,0,1,Não fez contato,1,0,2,Não fez contato,0,Não,Não,Sim,Equipe ganhou,
18/03/2023 09:50:47,2,1860 | Alphabots,Vermelho,Qualificatória,Sim,Não,0,0,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),6,Não,Não,Sim,Equipe ganhou,0
18/03/2023 09:50:50,1,9305 | Mont,Vermelho,Qualificatória,Não,Não,1,0,0,Não fez contato,0,1,3,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Não,Sim,Equipe ganhou,0
18/03/2023 09:50:51,4,9085 | SESI SENAI MEGA HARPY,Azul,Qualificatória,Sim,Sim,0,1,0,Não fez contato,2,1,0,Não fez contato,2,Sim,Sim,Não,Equipe perdeu,10
18/03/2023 09:50:57,7,9261 | Under Pressure,Azul,Qualificatória,Sim,Não,1,0,0,Não fez contato,0,0,0,Não fez contato,2,Sim,Sim,Não,Equipe perdeu,10
18/03/2023 09:59:16,9,9166 | TecRobot,Azul,Qualificatória,Sim,Não,1,0,0,Não fez contato,1,1,1,Não fez contato,0,Sim,Não,Não,Equipe ganhou,0
18/03/2023 09:59:15,1,9196 | Steel Claw Robotics,Vermelho,Qualificatória,Não,Não,0,0,0,Não fez contato,1,0,0,Não fez contato,1,Não,Não,Não,Equipe perdeu,25
18/03/2023 09:59:32,4,8066 | WOLF ARMY ROBOTICS,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Não,Equipe ganhou,9
18/03/2023 10:00:07,8,9302 | Northstar,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,1,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Não,Sim,Equipe perdeu,
18/03/2023 10:00:12,2,9110 | Atomiic,Vermelho,Qualificatória,Sim,Não,0,0,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),0,2,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Não,Sim,Equipe perdeu,
18/03/2023 10:07:54,4,7565 | SESI SENAI ROBONATICOS,Azul,Qualificatória,Sim,Sim,0,0,1,Não fez contato,1,2,0,DOCKED e NÃO ENGAGED (robô em contato com a charge station),2,Não,Sim,Não,Equipe perdeu,10
18/03/2023 10:09:33,1,9200 | SESI SENAI STARDUST,Vermelho,Qualificatória,Sim,Não,0,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,0,2,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Sim,Sim,Equipe ganhou,0
18/03/2023 10:08:34,5,7563 | SESI SENAI MEGAZORD,Vermelho,Qualificatória,Sim,Não,0,0,0,Não fez contato,1,0,1,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,Não,Sim,Sim,Equipe ganhou,0
18/03/2023 10:16:18,1,7033 | Roosters,Vermelho,Qualificatória,Não,Sim,1,0,0,Não fez contato,0,1,0,Não fez contato,1,Não,Não,Sim,Equipe perdeu,10
18/03/2023 10:17:07,8,7459 | Taubatexas Robotics,Vermelho,Qualificatória,Sim,Não,1,0,0,Não fez contato,0,0,0,Não fez contato,1,Sim,Sim,Sim,Equipe ganhou,
18/03/2023 10:17:30,4,9163 | HYDRA,Azul,Qualificatória,Não,Sim,0,0,0,Não fez contato,0,0,0,Não fez contato,1,Não,Sim,Não,Equipe ganhou,5
18/03/2023 10:17:38,5,8882 | Infinity BR,Vermelho,Qualificatória,Sim,Sim,0,0,0,Não fez contato,0,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Sim,Equipe perdeu,10
18/03/2023 10:17:39,2,9169 | AGROTECH,Vermelho,Qualificatória,Sim,Não,1,0,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),1,2,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,Não,Não,Sim,Equipe perdeu,10
18/03/2023 10:26:53,4,9050 | Tucanus,Azul,Qualificatória,Sim,Sim,1,0,0,Não fez contato,0,2,0,Não fez contato,1,Não,Sim,Não,Equipe perdeu,5
18/03/2023 10:26:55,2,9164 | Tech Vikings,Vermelho,Qualificatória,Sim,Não,0,1,0,DOCKED e ENGAGED (robô em contato com a charge station nivelada em conjunto com os outros robôs),0,4,0,Não fez contato,2,Sim,Sim,Sim,Equipe ganhou,10
